Gender,Age,EmploymentStatus,NotificationType,Debt,HasPaid
0,29,0,0,1330,0
0,29,0,0,1330,0
0,65,1,0,300,0
0,65,1,0,300,0
0,40,0,0,300,1
0,46,2,0,1024,0
0,27,2,0,300,0
0,26,0,0,896,0
1,55,2,0,350,0
0,45,0,0,288,0
0,45,0,0,288,0
0,52,5,0,1176,1
0,63,0,0,520,0
0,58,3,0,496,0
0,39,2,0,457,1
1,37,0,0,918,0
0,29,2,0,300,1
0,48,3,0,120,0
0,26,2,0,240,0
0,52,0,0,640,0
0,28,0,0,880,0
0,47,2,1,550,0
0,33,5,0,240,0
0,62,2,0,356,0
0,38,2,1,488,0
0,42,0,0,1100,0
0,24,0,0,818,0
0,33,2,1,300,0
0,25,5,0,300,0
0,36,0,0,1728,0
0,36,2,1,600,0
1,38,2,0,864,0
1,57,0,0,316,0
0,28,0,0,600,0
0,40,0,0,240,0
0,46,1,0,550,0
0,37,2,0,402,1
0,27,2,0,149,0
0,41,0,0,920,0
0,37,0,0,808,0
0,22,2,0,400,1
1,22,2,0,656,1
1,55,0,0,320,0
0,39,3,0,120,0
1,47,2,0,376,1
0,51,2,1,600,0
0,25,2,0,496,0
0,44,2,1,300,0
0,44,2,1,300,0
0,63,0,0,390,0
0,21,2,0,300,0
0,25,3,0,1092,0
0,39,2,0,906,0
0,26,0,0,1536,0
0,31,0,0,594,0
0,33,0,0,184,0
0,42,3,0,314,0
1,26,0,0,120,1
1,56,2,0,358,0
0,29,0,0,415,0
0,29,0,0,415,0
0,38,0,0,440,1
0,55,2,0,496,0
0,53,2,1,346,0
1,29,0,0,800,0
0,31,0,0,336,0
0,31,0,0,336,0
0,46,1,0,512,1
0,21,2,1,420,0
0,23,3,0,448,0
0,63,0,0,300,0
0,63,3,0,458,0
0,28,0,0,734,0
0,42,0,0,992,0
1,65,0,0,390,0
0,37,2,1,452,0
0,37,2,1,452,1
0,29,2,0,490,0
0,23,0,0,600,0
0,31,0,0,1100,0
1,27,0,0,484,0
1,27,0,0,484,0
1,27,0,0,484,0
0,41,2,1,440,0
0,27,0,0,900,0
0,28,0,0,600,0
0,28,2,0,464,1
1,75,0,0,390,0
0,63,3,0,229,0
0,32,2,0,736,0
0,32,2,0,736,0
0,38,2,1,488,0
0,37,0,0,1302,0
0,38,0,0,550,0
0,38,0,0,550,0
0,50,0,0,120,0
1,52,0,0,792,0
0,53,0,0,300,0
0,33,2,1,120,1
0,21,2,0,620,1
0,67,0,0,1200,0
0,40,0,0,1036,0
0,35,0,0,520,0
0,23,0,0,300,0
1,41,0,0,768,0
0,57,2,0,351,0
0,36,2,0,1096,1
0,43,0,0,550,0
0,22,0,0,412,0
0,32,2,0,848,0
0,47,0,0,600,0
0,24,0,0,1100,0
0,36,0,0,300,0
0,31,2,0,358,0
0,39,0,0,452,0
0,39,0,0,452,0
0,22,0,0,1036,0
0,25,0,0,497,0
0,28,0,0,928,0
1,63,0,0,1245,0
1,63,0,0,1245,0
0,50,6,0,550,0
0,25,0,0,464,1
0,44,0,0,932,0
0,48,0,0,832,0
0,48,0,0,832,0
0,52,0,0,349,0
0,55,0,0,300,0
0,24,0,0,1014,0
0,23,0,0,400,0
0,24,0,0,200,0
0,29,0,0,1100,0
0,29,0,0,1100,0
0,25,0,0,300,0
1,41,2,1,300,1
0,35,0,0,1100,0
0,59,3,0,247,0
1,26,2,1,300,0
0,48,1,0,550,0
0,53,2,1,600,0
0,24,2,1,436,0
0,65,0,0,410,0
0,24,2,1,812,0
0,32,2,0,314,1
0,41,0,0,816,0
0,32,0,0,240,0
0,28,0,0,468,0
1,61,2,0,226,0
0,55,0,0,550,0
1,41,0,0,283,0
0,37,2,0,432,1
0,40,2,0,1100,0
0,82,0,0,390,0
0,32,2,1,408,0
1,53,2,1,792,0
0,21,0,0,416,0
0,21,0,0,416,0
0,53,6,0,480,0
0,39,0,0,600,0
0,31,4,0,328,0
0,31,4,0,328,0
0,41,2,0,400,0
0,19,0,0,982,0
0,48,0,0,1024,0
0,57,0,0,1500,0
0,56,2,1,900,0
0,63,0,0,390,0
0,65,0,0,410,0
0,36,2,0,512,0
0,37,0,0,600,0
0,37,0,0,600,0
0,49,2,0,465,0
0,57,3,0,416,0
0,60,2,1,300,0
0,35,0,0,1100,0
0,45,0,0,429,0
0,30,2,0,756,0
0,30,2,0,756,0
0,48,1,0,550,0
0,48,1,0,550,0
0,35,0,0,520,0
0,50,2,0,169,0
0,62,0,0,600,0
0,28,0,0,468,1
0,36,2,0,392,0
0,71,0,0,390,0
0,71,0,0,390,0
1,25,0,0,300,1
0,66,0,0,700,0
0,49,2,1,550,0
0,30,0,0,561,0
1,50,0,0,548,0
1,50,0,0,548,0
0,61,0,0,1100,0
0,61,0,0,1100,0
0,22,2,0,736,0
1,27,2,1,300,1
0,56,2,0,482,0
0,48,2,0,400,1
0,28,4,0,600,0
0,55,2,1,1320,0
0,29,2,1,328,0
0,29,2,1,328,0
0,28,0,0,780,0
0,23,2,0,240,1
0,20,0,0,400,0
0,32,2,0,650,1
0,38,0,0,120,0
0,25,0,0,600,0
0,42,2,0,960,1
1,31,5,0,300,0
1,31,5,0,300,0
0,41,0,0,410,0
0,34,0,0,692,0
0,40,0,0,1305,0
0,40,0,0,1305,0
0,34,0,0,800,0
1,62,6,0,433,0
0,51,2,0,440,0
0,33,2,1,400,1
1,38,0,0,672,0
1,26,2,0,1239,0
0,31,2,0,550,0
0,26,3,0,273,0
0,44,2,1,506,0
0,46,2,1,896,0
0,34,2,0,313,0
0,54,0,0,1256,0
0,20,0,0,732,0
1,33,2,1,428,0
0,62,0,0,750,0
0,39,2,1,300,0
0,29,0,0,120,0
0,42,0,0,1344,1
0,34,2,1,900,0
0,42,2,0,480,0
0,26,0,0,300,1
0,35,2,0,1431,0
1,54,2,0,841,0
0,50,6,0,1100,0
0,29,0,0,832,0
0,35,2,0,1078,0
0,36,0,0,550,0
0,57,3,0,376,0
0,36,0,0,550,0
0,56,0,0,1431,0
0,22,0,0,1046,0
0,33,2,1,300,0
1,26,0,0,300,1
1,26,0,0,300,0
0,24,0,0,300,0
0,30,0,0,120,0
0,48,2,1,300,1
0,46,1,0,512,0
0,21,3,0,120,0
1,40,2,1,550,0
0,28,2,1,550,0
0,58,0,0,928,0
0,58,0,0,928,0
1,61,2,0,389,0
0,26,0,0,408,0
0,47,5,0,100,1
0,65,2,1,175,0
1,26,0,0,413,0
1,26,0,0,413,0
0,58,3,0,120,0
0,60,2,1,300,0
0,46,1,0,512,0
0,46,1,0,512,0
0,57,6,0,300,1
0,21,0,0,300,0
0,32,0,0,1650,0
0,59,0,0,416,0
0,22,2,0,400,1
1,27,2,1,600,1
0,57,0,0,614,0
0,57,0,0,614,0
0,37,2,0,1344,0
0,21,2,1,300,0
1,22,3,0,272,1
0,29,2,1,600,0
0,36,0,0,826,0
0,53,0,0,385,0
0,49,2,1,480,0
0,22,3,0,120,0
0,54,2,0,400,1
0,29,2,1,300,0
0,33,0,0,484,0
0,53,0,0,176,0
0,36,0,0,240,0
0,31,0,0,300,0
0,63,0,0,1245,0
0,63,0,0,1245,0
0,68,0,0,390,0
0,28,0,0,732,0
1,65,2,1,600,0
0,30,2,0,924,0
0,32,0,0,369,0
0,26,0,0,1008,0
0,26,0,0,1008,0
1,56,3,0,328,1
1,39,2,1,600,0
0,34,0,0,600,0
0,63,2,1,300,0
0,30,0,0,900,0
0,39,2,1,300,1
0,34,3,0,120,0
0,24,0,0,1124,0
0,24,0,0,918,0
0,56,0,0,415,0
1,30,0,0,665,0
0,42,2,0,464,1
0,58,2,0,992,0
0,58,2,0,992,0
0,34,2,0,433,1
0,35,2,0,442,0
1,37,0,0,600,0
0,21,0,0,1014,0
0,26,2,1,300,0
0,56,3,0,616,0
0,66,0,0,390,0
1,38,4,0,525,0
0,24,0,0,900,1
0,24,2,1,410,0
0,23,3,0,120,0
0,21,2,1,300,0
0,58,2,1,300,0
0,26,2,0,320,0
0,59,2,0,464,0
0,52,0,0,850,0
0,38,0,0,1401,0
0,38,0,0,1401,0
0,43,2,1,600,0
0,26,0,0,1100,1
0,32,0,0,860,0
1,33,2,1,600,0
0,49,0,0,300,0
0,49,0,0,300,0
0,38,0,0,300,0
1,32,2,0,600,0
1,32,2,0,600,0
0,51,2,0,1936,0
0,59,2,0,352,0
0,37,2,1,300,1
0,46,3,0,120,0
0,27,0,0,432,0
0,35,0,0,1040,0
0,45,0,0,934,0
1,49,0,0,900,0
0,35,2,1,447,0
1,53,2,1,300,0
0,53,2,0,840,0
0,61,0,0,630,0
0,53,3,0,123,1
0,53,3,0,123,1
0,47,0,0,600,0
0,52,0,0,1431,0
0,46,2,1,476,0
0,23,0,0,1095,0
0,53,2,1,402,1
0,53,2,1,402,1
0,42,3,0,526,1
0,42,0,0,496,0
0,27,0,0,318,0
0,42,3,0,288,1
1,22,3,0,663,0
0,58,2,1,300,0
0,33,2,0,998,0
0,45,0,0,848,0
1,36,2,0,550,0
0,46,3,0,368,0
0,33,3,0,240,0
0,30,3,0,320,0
0,30,3,0,320,0
0,38,0,0,600,0
0,26,0,0,600,0
0,56,0,0,1950,0
1,30,0,0,1920,0
0,52,3,0,272,1
0,34,2,1,300,0
0,38,0,0,399,0
0,36,0,0,1430,0
1,56,2,1,300,0
0,26,2,0,123,1
0,25,0,0,300,0
0,57,0,0,756,0
0,54,0,0,730,0
1,22,0,0,900,0
1,42,0,0,394,0
1,37,2,1,600,0
0,26,2,0,342,1
0,23,2,0,416,1
0,23,2,0,416,1
0,40,2,1,300,0
1,35,0,0,240,0
0,24,2,0,900,0
0,20,0,0,300,0
0,21,0,0,346,0
0,45,2,1,900,0
0,20,0,0,800,1
0,20,0,0,800,1
0,55,0,0,526,0
0,44,2,0,448,0
0,50,0,0,496,0
0,51,0,0,540,0
1,51,2,0,934,1
0,38,0,0,300,0
0,27,0,0,240,0
0,27,0,0,240,0
0,34,0,0,600,0
0,28,0,0,732,0
0,62,2,1,250,0
0,51,0,0,1100,0
0,35,2,1,300,0
0,50,2,0,864,1
1,21,0,0,896,0
1,21,0,0,896,0
0,39,2,1,600,0
0,58,0,0,512,0
0,32,2,1,300,0
0,56,2,1,900,0
1,57,0,0,240,0
0,22,0,0,1150,0
0,30,0,0,1100,0
1,22,2,0,656,0
0,54,2,0,415,1
0,54,2,0,415,1
0,43,0,0,348,1
0,39,0,0,550,0
0,38,2,0,362,0
1,44,2,0,676,1
0,23,0,0,550,0
0,36,0,0,864,0
1,33,2,1,1013,0
1,33,2,1,1013,0
0,59,2,0,464,0
0,64,3,0,248,0
0,59,2,0,728,0
0,53,2,0,692,0
0,25,2,1,600,0
0,33,2,0,424,0
0,42,0,0,550,0
0,34,2,1,509,0
0,41,2,1,1500,0
1,28,0,0,525,0
0,30,0,0,240,0
0,30,0,0,240,0
0,22,2,1,443,0
0,27,2,1,400,1
0,36,0,0,914,0
0,32,0,0,600,0
0,32,0,0,600,0
1,26,0,0,300,0
0,24,2,1,432,0
0,24,2,1,432,0
0,30,2,1,744,0
1,21,2,1,438,0
0,47,0,0,550,0
0,60,2,1,326,0
0,61,5,0,1200,0
1,21,2,0,437,0
0,43,3,0,301,0
0,21,2,1,376,0
0,36,2,0,848,0
0,23,0,0,300,0
0,73,0,0,390,0
0,54,2,0,738,1
0,65,2,0,640,1
0,65,2,0,356,0
0,23,2,1,300,0
0,52,0,0,668,1
0,35,2,0,720,0
0,49,0,0,770,0
1,29,2,1,300,0
0,55,0,0,395,0
0,28,2,0,260,0
0,35,3,0,367,0
0,61,2,0,421,0
0,31,0,0,1386,0
1,52,0,0,396,0
0,42,2,0,240,1
0,32,0,0,300,0
0,32,0,0,300,0
0,44,6,0,300,0
0,44,6,0,300,0
1,38,0,0,1392,0
1,29,2,0,384,0
0,37,2,0,512,0
0,35,2,1,740,0
1,29,2,1,420,1
0,42,2,0,416,1
0,54,0,0,1336,0
0,54,0,0,1336,0
1,21,3,0,120,1
0,41,2,1,300,0
0,39,0,0,872,0
0,48,2,0,482,0
0,47,0,0,880,0
0,44,3,0,830,0
0,50,2,0,300,0
0,29,0,0,1330,0
0,62,0,0,120,0
1,22,0,0,874,0
0,76,0,0,390,0
0,23,0,0,1100,0
1,27,2,1,300,1
0,22,2,0,480,1
0,53,2,0,910,0
0,29,0,0,740,0
0,52,2,0,473,0
0,32,0,0,300,0
1,53,3,0,564,0
0,57,2,0,550,0
0,29,0,0,600,0
1,35,2,1,175,1
0,23,0,0,400,1
0,72,0,0,390,0
0,34,0,0,980,0
1,50,3,0,287,0
0,26,0,0,408,0
0,41,0,0,522,0
0,27,0,0,240,0
0,59,2,1,120,1
0,32,2,0,490,0
0,32,2,0,490,0
0,28,0,0,300,0
0,29,3,0,402,1
0,39,3,0,120,0
0,29,2,0,410,0
1,65,0,0,229,0
0,45,0,0,300,0
0,28,2,1,355,0
0,28,2,1,355,0
0,58,0,0,875,0
0,46,2,0,1320,0
1,21,2,0,437,0
1,52,2,1,600,0
0,50,2,0,446,1
0,50,2,0,446,1
0,39,0,0,600,0
0,32,2,1,300,0
0,57,0,0,300,0
0,63,0,0,295,0
1,35,0,0,992,0
1,35,0,0,992,0
0,31,0,0,240,0
0,33,0,0,338,0
1,61,0,0,480,0
1,61,0,0,480,0
0,43,2,0,550,1
0,29,0,0,1100,0
0,28,0,0,300,1
0,30,2,0,384,0
0,30,2,0,384,0
0,40,0,0,808,0
0,25,0,0,415,0
0,52,2,0,550,1
0,32,2,1,428,0
0,39,0,0,300,0
0,30,2,1,600,0
0,30,2,1,600,0
0,45,2,1,900,0
0,39,0,0,600,0
0,55,2,1,960,0
0,55,2,1,960,0
0,25,2,0,628,0
0,39,2,0,336,1
0,36,0,0,628,0
0,36,0,0,628,0
0,30,0,0,600,0
1,56,2,1,263,0
0,23,3,0,896,0
0,55,2,1,240,0
0,62,0,0,628,0
0,51,0,0,300,0
0,41,0,0,526,0
0,54,2,1,266,0
0,38,0,0,266,0
0,20,2,0,311,0
0,27,2,0,704,0
0,30,2,1,448,1
1,52,0,0,314,1
0,48,2,1,900,0
0,28,0,0,600,0
0,38,2,0,443,0
0,32,2,0,896,0
0,21,2,1,435,0
1,40,0,0,1200,0
0,39,2,1,406,1
0,39,2,1,406,1
0,60,3,0,300,1
0,60,3,0,300,1
1,48,2,1,406,1
0,23,2,1,416,0
0,23,2,1,416,0
0,22,0,0,364,1
0,46,2,0,415,0
0,35,0,0,400,0
0,55,0,0,902,0
0,55,0,0,902,0
0,32,0,0,414,0
0,63,2,1,175,0
0,35,3,0,367,1
0,30,0,0,800,0
0,25,0,0,1450,0
0,46,2,0,1024,0
1,31,0,0,403,1
0,38,0,0,896,0
0,34,2,1,600,0
1,57,2,0,251,0
0,45,0,0,350,0
0,50,0,0,464,0
0,50,0,0,464,0
1,42,2,1,600,0
0,52,3,0,240,0
1,25,2,0,346,0
1,25,2,0,346,0
0,52,2,0,440,0
0,52,2,0,440,0
0,21,2,0,416,0
0,43,2,0,550,0
0,33,0,0,600,0
0,24,0,0,336,0
0,24,0,0,336,0
0,47,0,0,890,0
0,47,0,0,890,0
0,24,3,0,600,1
1,64,2,1,600,1
1,29,0,0,240,0
0,37,2,1,424,0
0,48,0,0,373,0
0,29,2,0,1024,0
0,29,2,0,1024,0
0,29,2,1,1088,1
0,25,3,0,480,0
1,40,2,0,448,1
0,30,0,0,1197,0
0,25,2,1,300,1
1,50,0,0,300,1
0,24,2,1,992,0
0,34,2,1,550,1
1,22,2,0,254,0
1,49,0,0,300,0
0,46,0,0,526,0
0,46,1,0,512,0
1,25,0,0,2104,0
1,25,0,0,2104,0
0,65,2,0,912,0
0,57,3,0,1200,0
0,46,1,0,550,1
1,55,0,0,960,0
1,25,3,0,422,1
0,62,0,0,696,0
0,32,0,0,642,0
0,32,0,0,642,0
0,28,2,0,520,1
0,34,2,1,438,0
0,36,0,0,900,0
0,41,0,0,688,0
0,27,0,0,300,0
0,24,0,0,300,0
1,64,0,0,600,0
1,64,0,0,600,0
0,42,0,0,550,0
0,42,0,0,550,0
0,28,0,0,295,0
0,88,0,0,390,0
0,38,2,1,300,0
0,37,2,1,480,0
1,65,2,1,371,0
1,65,2,1,371,0
0,44,0,0,600,0
0,28,0,0,692,1
0,35,2,0,1078,0
1,36,2,1,392,0
1,36,2,1,392,0
0,35,0,0,1536,0
0,65,2,0,912,0
0,55,2,1,240,0
1,26,0,0,920,0
0,42,2,1,448,0
0,34,0,0,976,0
0,50,2,0,832,0
0,47,2,0,752,0
0,27,1,0,550,0
0,34,0,0,976,0
0,54,2,1,300,0
0,34,2,1,416,1
0,57,2,0,736,0
1,31,2,1,512,0
1,29,0,0,600,0
1,27,2,1,600,1
0,45,2,0,569,0
0,23,2,0,486,0
0,23,0,0,384,0
0,35,0,0,300,0
0,22,2,1,388,0
0,42,0,0,250,0
0,42,0,0,250,0
0,31,2,0,550,1
0,34,0,0,802,0
0,37,2,1,475,0
0,31,0,0,300,1
0,34,0,0,864,0
0,32,0,0,642,0
0,61,0,0,323,0
0,39,0,0,240,0
0,24,2,0,900,0
0,21,2,0,600,0
1,42,3,0,550,1
0,37,2,0,838,0
1,61,0,0,390,0
0,63,0,0,449,0
0,30,2,1,850,0
0,62,0,0,1430,0
0,42,2,0,954,0
0,42,2,0,954,0
0,55,2,0,300,0
0,55,2,0,300,0
0,52,1,0,550,0
0,29,2,0,550,0
0,27,2,1,821,0
0,27,2,0,1440,0
0,27,2,0,1440,0
0,33,0,0,600,0
0,63,2,1,300,0
0,49,3,0,263,0
0,29,0,0,908,0
1,32,2,1,300,1
0,31,0,0,360,0
0,40,2,1,600,0
0,51,2,0,400,0
0,50,0,0,415,0
0,36,2,0,466,0
0,27,0,0,149,0
0,35,0,0,1500,0
0,31,3,0,300,0
0,30,2,1,372,0
1,26,2,1,600,0
1,38,0,0,720,0
0,40,2,0,482,0
0,22,0,0,400,0
0,29,2,0,780,0
0,54,2,1,300,0
0,34,0,0,880,0
0,23,0,0,536,0
0,32,0,0,600,0
0,23,0,0,240,0
0,53,2,1,300,0
0,28,0,0,120,0
0,41,0,0,816,0
0,21,2,0,465,1
0,52,0,0,240,0
0,35,0,0,918,0
0,29,0,0,736,0
1,26,2,1,300,0
0,27,0,0,465,0
0,20,2,0,120,0
1,61,0,0,512,0
1,61,0,0,512,0
0,57,2,0,464,1
0,62,2,1,300,0
0,62,2,1,300,0
0,56,0,0,1920,0
1,31,2,1,600,0
0,57,0,0,600,0
0,54,0,0,1256,0
0,42,2,1,240,0
0,22,0,0,1100,0
0,22,0,0,1100,0
0,30,3,0,240,0
0,30,3,0,240,0
0,30,3,0,240,0
0,30,0,0,600,0
0,27,2,1,300,0
0,40,2,0,700,0
1,28,1,0,1100,0
0,57,0,0,1350,0
0,30,0,0,882,0
1,34,2,1,300,0
1,31,2,1,421,0
0,41,2,1,732,0
0,38,2,0,550,1
0,38,2,0,550,1
0,23,0,0,805,0
0,34,0,0,966,0
0,34,0,0,966,0
0,46,1,0,550,0
0,30,0,0,300,0
0,30,0,0,300,0
1,31,2,1,900,1
